lhs,strelka,rhs,support,confidence,lift,count
"{rice,sugar}",=>,{whole milk},0.001220132,1,3.913649025,12
"{canned fish,hygiene articles}",=>,{whole milk},0.001118454,1,3.913649025,11
"{butter,rice,root vegetables}",=>,{whole milk},0.001016777,1,3.913649025,10
"{flour,root vegetables,whipped/sour cream}",=>,{whole milk},0.001728521,1,3.913649025,17
"{butter,domestic eggs,soft cheese}",=>,{whole milk},0.001016777,1,3.913649025,10
"{citrus fruit,root vegetables,soft cheese}",=>,{other vegetables},0.001016777,1,5.168155544,10
"{butter,hygiene articles,pip fruit}",=>,{whole milk},0.001016777,1,3.913649025,10
"{hygiene articles,root vegetables,whipped/sour cream}",=>,{whole milk},0.001016777,1,3.913649025,10
"{hygiene articles,pip fruit,root vegetables}",=>,{whole milk},0.001016777,1,3.913649025,10
"{cream cheese,domestic eggs,sugar}",=>,{whole milk},0.001118454,1,3.913649025,11
"{curd,domestic eggs,sugar}",=>,{whole milk},0.001016777,1,3.913649025,10
"{cream cheese,domestic eggs,napkins}",=>,{whole milk},0.001118454,1,3.913649025,11
"{brown bread,pip fruit,whipped/sour cream}",=>,{other vegetables},0.001118454,1,5.168155544,11
"{grapes,tropical fruit,whole milk,yogurt}",=>,{other vegetables},0.001016777,1,5.168155544,10
"{ham,pip fruit,tropical fruit,yogurt}",=>,{other vegetables},0.001016777,1,5.168155544,10
"{ham,pip fruit,tropical fruit,whole milk}",=>,{other vegetables},0.001118454,1,5.168155544,11
"{oil,root vegetables,tropical fruit,yogurt}",=>,{whole milk},0.001118454,1,3.913649025,11
"{oil,other vegetables,root vegetables,yogurt}",=>,{whole milk},0.001423488,1,3.913649025,14
"{butter,other vegetables,root vegetables,white bread}",=>,{whole milk},0.001016777,1,3.913649025,10
"{butter,other vegetables,pork,whipped/sour cream}",=>,{whole milk},0.001016777,1,3.913649025,10